display_name,decision,latest_close,latest_probability_up_percent,predicted_return_5d_percent,predicted_price_5d,predicted_price_change_5d,recent_high_gap_percent,test_accuracy_percent,walk_forward_accuracy_mean_percent,strategy_total_return_percent,buy_hold_total_return_percent,strategy_sharpe,buy_hold_sharpe,strategy_max_drawdown_percent,buy_hold_max_drawdown_percent,signal_accuracy_rate_percent,data_rows_used
IREN,Invest,58.400001525878906,69.8363472347009,10.246909733704186,64.38419696671758,5.9841954408386755,-4.575162095024233,45.94594594594595,52.941176470588246,75.84389793582899,220.64297767573692,2.5298991674625815,3.630891286987972,-21.996192203705867,-58.61798282452734,45.94594594594595,1126
CEG,Invest,275.260009765625,66.03786424944292,5.201308936557809,289.57713325233436,14.317123486709363,-16.996757435646558,50.0,50.68493150684932,-10.433904195656496,-1.4293961617080075,-0.3681078906386997,-0.0416225477844168,-34.129382775299675,-38.768785546671225,50.0,1084
RGTI,Invest,19.270000457763672,60.922506868813784,5.075093746049906,20.247971045859426,0.9779705880957543,-6.045830118383022,53.271028037383175,47.41573033707866,12.24133901548976,40.21406926271192,0.24019712639134416,0.47270408702694255,-41.20395639113824,-77.10330212354869,53.271028037383175,1272
NOW,Invest,90.5,57.92543274074157,4.281917648217957,94.37513547163724,3.875135471637236,-27.21569674646872,41.24293785310734,45.067873303167424,-20.39847794921924,-39.89622408823716,-0.34165774132814125,-0.4999865652586184,-45.078408603519925,-64.54173439572126,41.24293785310734,2858
FIVN,Invest,20.75,61.90269307787336,3.688038299922247,21.51526794723387,0.7652679472338697,-14.468261318081677,50.847457627118644,54.29864253393666,-14.673037928919808,-64.75071304493825,-0.3122268358091526,-0.6934535253806962,-42.30283071884692,-78.15409338146341,50.847457627118644,2858
PATH,Invest,9.670000076293945,59.612134101665816,1.3233766891586312,9.797970603145242,0.12797052685129628,-22.32931546635326,58.41121495327103,49.887640449438194,24.735905909859433,-14.941634391409641,1.2187614362138823,-0.26661953140781564,-15.978406608650698,-51.373770506715985,58.41121495327103,1273
QLYS,Invest,86.7300033569336,62.74808569341451,1.0867112526682132,87.67250806285291,0.942504705919319,-17.3291389482068,47.64595103578154,50.99547511312217,1.6996235761055134,-42.40751683695018,0.029647348260125158,-0.5643323257404189,-30.58436760352953,-55.725991123110234,47.64595103578154,2858
CAC 40,Entry Window,7971.9501953125,55.09992054727001,1.0178259215583885,8053.090770854115,81.14057554161536,-7.5279525029475,53.41959334565619,51.68888888888888,-1.2478229636843419,-0.48270957067020337,-0.09460796879604111,-0.01482425956188127,-8.582019325548373,-16.710823383011007,53.41959334565619,2908
PWR,Invest,780.0800170898438,57.44677039322564,0.9313481126992786,787.3452776065542,7.265260516710441,-0.6571205247699052,55.1789077212806,55.70135746606335,77.0653703803561,190.42598192340324,1.3872250429099964,1.7181177530910514,-20.660825373883963,-33.8854219433682,55.1789077212806,2858
AMZN,Invest,267.2200012207031,57.00057007959084,0.5266910270892797,268.62742498972045,1.4074237690173277,-2.8255533981616843,48.7758945386064,51.13122171945701,-21.227143967642036,52.08637621224168,-0.6627820600206702,0.693784845672739,-29.38226749245061,-30.876638431875993,48.7758945386064,2858
VST,Invest,141.89999389648438,59.586450828783214,0.48975491875574273,142.5949560963065,0.6949621998221289,-19.63943178057238,46.27539503386004,47.717391304347835,70.49723627730174,104.66173792955699,1.2613182195886494,0.802174740053187,-24.791579561376164,-48.80427853674868,46.27539503386004,2415
FTSE 100,Entry Window,10220.6103515625,56.45627708223837,0.45354801941412914,10266.965727384048,46.35537582154757,-6.324026932668502,49.063670411985015,53.558558558558566,6.740403576370868,29.010332947239313,0.4110716589651523,1.095653577626908,-9.79994781310446,-13.43433128094449,49.063670411985015,2871
DAX,Entry Window,24043.130859375,61.128925998269025,0.27289139779274374,24108.742495250288,65.6116358752879,-4.926599350107019,52.79850746268657,51.83856502242152,1.8611426548876153,33.27975994329717,0.09790282886915257,0.8764653142658472,-14.880742501909161,-16.00633120097169,52.79850746268657,2883
Euro Stoxx 50,Entry Window,5829.7900390625,55.12029548139261,0.22785098740819354,5843.073273230328,13.283234167827686,-5.564749517893719,47.35849056603774,48.662131519274375,-9.62063873222676,19.44559102047887,-0.5951525663739855,0.5354068412956839,-17.560755624242418,-16.578256758658593,47.35849056603774,2854
VUZI,Invest,3.0799999237060547,55.75658114277824,-0.28266164763295826,3.0712939451746135,-0.008705978531441172,-0.96462933767546,47.83427495291902,47.647058823529406,58.90354953485557,128.79999160766565,0.3796574560666545,0.46110622498792686,-69.77186379863333,-69.77186379863332,47.83427495291902,2858
ETN,Invest,408.1000061035156,56.143316599200155,-0.780808744055986,404.9135255713664,-3.1864805321492327,-5.492301676444333,53.29566854990584,50.95022624434389,9.395585285095255,31.146377606352438,0.1777907397360919,0.4002983160211193,-27.247168389325292,-34.46096676625684,53.29566854990584,2858
